src_ip,dst_ip,src_mac,dst_mac,src_port,dst_port,bidirectional_packets,bidirectional_bytes,application_name,application_category_name
192.168.1.1,224.0.0.1,2c:96:82:a1:63:58,01:00:5e:00:00:01,0,0,1,46,IGMP,Network
13.107.246.40,192.168.1.21,2c:96:82:a1:63:58,c0:e4:34:67:c0:b9,443,58236,303,389977,TLS,Web
fe80::de03:98ff:fe15:4c94,ff02::16,dc:03:98:15:4c:94,33:33:00:00:00:16,0,0,3,270,ICMPV6,Network
192.168.1.8,255.255.255.255,dc:03:98:15:4c:94,ff:ff:ff:ff:ff:ff,60416,9999,1,100,Unknown,Unspecified
192.168.1.21,224.0.0.251,c0:e4:34:67:c0:b9,01:00:5e:00:00:fb,0,0,2,92,IGMP,Network
fe80::c855:ddff:fe1e:5492,ff02::16,ca:55:dd:1e:54:92,33:33:00:00:00:16,0,0,3,270,ICMPV6,Network
192.168.1.4,224.0.0.251,ca:55:dd:1e:54:92,c0:e4:34:67:c0:b9,5353,5353,1,82,MDNS,Network
fe80::595c:cad6:9051:4c2,ff02::16,c0:e4:34:67:c0:b9,33:33:00:00:00:16,0,0,2,180,ICMPV6,Network
0.0.0.0,224.0.0.1,2c:96:82:a1:63:58,01:00:5e:00:00:01,0,0,1,50,IGMP,Network
fe80::2e96:82ff:fea1:6358,ff02::1,2c:96:82:a1:63:58,33:33:00:00:00:01,0,0,1,90,ICMPV6,Network
192.168.1.21,172.64.155.141,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,42504,443,3,276,TLS,Web
fe80::d06b:fcff:fe5c:3308,ff02::16,d2:6b:fc:5c:33:08,33:33:00:00:00:16,0,0,1,90,ICMPV6,Network
192.168.1.1,224.0.0.1,2c:96:82:a1:63:58,01:00:5e:00:00:01,0,0,1,46,IGMP,Network
192.168.1.21,142.250.78.142,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,55917,443,2,142,Unknown,Unspecified
