src_ip,dst_ip,src_mac,dst_mac,src_port,dst_port,bidirectional_packets,bidirectional_bytes,application_name,application_category_name
192.168.1.21,51.11.192.48,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,47404,443,11,4144,TLS,Web
192.168.1.8,255.255.255.255,dc:03:98:15:4c:94,ff:ff:ff:ff:ff:ff,56700,56700,1,78,Unknown,Unspecified
192.168.1.21,142.251.132.110,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,41434,443,9,669,TLS,Web
192.168.1.1,224.0.0.1,2c:96:82:a1:63:58,01:00:5e:00:00:01,0,0,1,46,IGMP,Network
192.168.1.21,173.194.210.84,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,42546,443,6,459,TLS,Web
192.168.1.21,104.18.32.115,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,36342,443,4,414,TLS,Web
192.168.1.21,172.217.173.54,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,43322,443,8,603,TLS,Web
192.168.1.21,172.217.173.193,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,38030,443,7,525,TLS,Web
192.168.1.1,224.0.0.1,2c:96:82:a1:63:58,01:00:5e:00:00:01,0,0,1,46,IGMP,Network
192.168.1.21,224.0.0.251,c0:e4:34:67:c0:b9,01:00:5e:00:00:fb,0,0,2,92,IGMP,Network
192.168.1.8,255.255.255.255,dc:03:98:15:4c:94,ff:ff:ff:ff:ff:ff,48929,9999,1,100,Unknown,Unspecified
172.64.155.141,192.168.1.21,2c:96:82:a1:63:58,c0:e4:34:67:c0:b9,443,33108,3,250,TLS,Web
192.168.1.21,104.18.32.115,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,36342,443,2,201,TLS,Web
192.168.1.21,142.251.132.110,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,52946,443,3,276,TLS,Web
192.168.1.1,224.0.0.1,2c:96:82:a1:63:58,01:00:5e:00:00:01,0,0,1,46,IGMP,Network
192.168.1.21,224.0.0.251,c0:e4:34:67:c0:b9,01:00:5e:00:00:fb,0,0,1,46,IGMP,Network
192.168.1.21,104.18.32.115,c0:e4:34:67:c0:b9,2c:96:82:a1:63:58,43018,443,4,342,TLS,Web
